food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,ML_Cluster,Category
cod canned,328,2.7,0.5,0.4,0.9,0.0,0.0,71.0,0.0,171.6,0.7,235.9,0.046,0.3,0.06,0.04,0.2,7.8,0.5,0.9,3.1,0.066,2.6,0.063,65.5,0.1,1.5,127.9,0.061,811.2,1647.4,0.1,1.8,143.814,3,High Protein
eastern oyster canned,110,4.0,1.0,0.4,1.2,6.3,0.0,11.4,0.0,89.1,0.2,137.9,0.1,0.2,0.009,0.089,0.3,2.0,0.3,0.2,8.1,0.0,1.4,0.056,72.9,7.2,10.9,87.5,0.7,225.2,371.0,0.078,147.3,113.7,0,Low-Cal Carb/Veggie
chum salmon canned,520,20.3,5.5,7.1,5.6,0.0,0.0,79.1,0.0,143.9,0.3,261.1,0.014,0.092,0.054,0.012,0.6,25.8,2.1,1.4,0.0,0.0,0.0,0.0,918.8,0.4,2.6,110.7,0.037,1306.3,1107.0,0.2,3.7,1020.805,3,High Protein
tuna canned in oil,331,14.4,2.3,5.8,5.3,0.0,0.0,47.2,0.0,55.2,0.7,114.0,0.03,0.044,0.022,0.033,0.1,20.8,0.7,0.8,0.0,0.0,4.1,0.073,7.1,0.2,1.2,60.5,0.081,475.3,592.7,0.1,0.8,69.953,0,Low-Cal Carb/Veggie
wild pink salmon oceans,320,16.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0,Low-Cal Carb/Veggie
shrimp canned,128,1.7,0.2,0.1,0.9,0.0,0.0,26.1,0.0,322.6,1.1,97.1,0.0,0.039,0.078,0.081,0.099,0.7,0.2,0.054,5.2,0.0,1.4,0.0,185.6,0.3,2.7,42.2,0.5,249.6,102.4,0.036,2.5,221.3,0,Low-Cal Carb/Veggie
alaska king crab raw,144,1.0,0.2,0.1,0.2,0.0,0.0,31.5,0.0,72.2,1.4,136.9,0.048,0.015,0.082,0.004,0.026,1.9,0.6,0.3,12.0,0.0,0.0,0.0,79.1,1.6,1.0,84.3,0.021,376.7,350.9,0.002,10.2,124.608,0,Low-Cal Carb/Veggie
scallops fried,64,3.2,0.8,2.1,0.1,6.4,0.0,2.6,0.0,18.0,0.2,11.5,0.059,0.049,0.081,0.089,0.1,0.0,0.075,0.013,0.0,0.0,0.0,0.0,3.1,0.099,0.3,5.3,0.008,48.7,49.0,0.032,0.2,15.698,0,Low-Cal Carb/Veggie
shrimp cooked,7,0.092,0.023,0.003,0.0,0.013,0.0,1.3,0.0,11.6,0.012,3.9,0.021,0.031,0.098,0.077,0.002,0.1,0.026,0.041,0.0,0.08,0.1,0.001,5.0,0.01,0.009,2.0,0.077,16.8,9.4,0.08,0.008,6.398,0,Low-Cal Carb/Veggie
clams fried,19,1.0,0.3,0.4,0.3,1.0,0.0,1.3,0.0,5.7,0.068,5.8,0.008,0.091,0.059,0.083,0.042,0.2,0.01,0.011,0.9,0.0,0.0,0.0,5.9,0.069,1.3,1.3,0.078,17.7,30.6,0.022,0.1,11.464,0,Low-Cal Carb/Veggie
alaska king crab cooked,130,2.1,0.2,0.2,0.7,0.0,0.0,25.9,0.0,71.0,1.4,103.9,0.018,0.005,0.002,0.02,0.07,1.8,0.5,0.2,10.2,0.0,0.0,0.0,79.1,1.6,1.0,84.4,0.093,375.2,351.1,0.003,10.2,118.35,0,Low-Cal Carb/Veggie
scallops cooked,11,0.058,0.092,0.096,0.086,0.5,0.0,2.1,0.0,4.1,0.06,7.0,0.05,0.091,0.011,0.015,0.067,0.049,0.1,0.004,0.032,0.0,0.0,0.0,0.0,1.0,0.057,0.041,3.7,0.004,42.6,31.4,0.042,2.732,0,Low-Cal Carb/Veggie
squid fried,140,6.0,1.5,2.2,1.7,6.2,0.0,14.4,0.0,208.0,0.2,51.6,0.035,0.048,0.06,0.05,0.4,2.1,0.4,0.033,3.4,0.0,0.0,0.0,31.2,1.7,0.8,30.4,0.046,200.8,223.2,0.087,1.4,62.028,0,Low-Cal Carb/Veggie
oyster raw,41,1.2,0.3,0.2,0.4,2.5,0.0,4.7,0.0,25.0,0.059,41.0,0.093,0.052,0.088,0.018,0.1,1.0,0.3,0.026,4.0,0.0,0.0,0.0,4.0,0.8,2.6,11.0,0.3,81.0,84.0,0.1,8.3,19.054,0,Low-Cal Carb/Veggie
abalone,89,0.6,0.1,0.02,0.091,5.1,0.0,14.5,0.0,72.3,0.3,63.4,0.056,0.2,0.038,0.057,0.09,1.3,2.6,0.1,1.7,0.0,3.4,0.043,26.4,0.2,2.7,40.8,0.014,161.5,212.5,0.095,0.7,51.092,0,Low-Cal Carb/Veggie
